[2022-12-06 20:30:27,545][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:27,751][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:27,961][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:28,162][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:28,368][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 368]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:28,608][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:28,881][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:29,099][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:29,353][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:29,582][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:29,832][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:30,044][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:30,252][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:30,456][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:30,692][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:30,943][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:31,140][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:31,343][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:31,610][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:31,844][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:32,114][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:32,354][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:32,589][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 366]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:32,839][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:33,047][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:33,274][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:33,490][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:33,698][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:33,915][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:34,129][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:34,366][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:34,616][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:34,842][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:35,070][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:35,289][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:35,529][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:35,743][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:35,963][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:36,159][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:36,368][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:36,603][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:36,826][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:37,045][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:37,251][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:37,454][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:37,692][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:37,909][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:38,129][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:38,348][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:38,562][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:38,798][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:39,017][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:39,241][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
[2022-12-06 20:30:39,472][imageio][WARNING] - Lossy conversion from int32 to uint8. Range [0, 367]. Convert image to uint8 prior to saving to suppress this warning.
